"","Title","Currency","amountAwarded","awardDate","Organisation","fundingOrg","fundingDept","grantProgramme","amountRequested","orgSize"
"955","Young Londoners Fund","GBP",30000,2018-10-01,"Hillingdon Carers","Greater London Authority","Education and Youth","Young Londoners Fund",44321.2712945039,"small"
"956","Young Londoners Fund","GBP",83360,2018-10-01,"Hounslow Action for Youth","Greater London Authority","Education and Youth","Young Londoners Fund",98530.343947732,"large"
"957","Young Londoners Fund","GBP",150000,2019-01-14,"Hyde Charitable Trust","Greater London Authority","Education and Youth","Young Londoners Fund",183329.817311859,"small"
"958","Young Londoners Fund","GBP",120000,2019-01-02,"Ignite Trust","Greater London Authority","Education and Youth","Young Londoners Fund",131703.486931338,"small"
"959","Young Londoners Fund","GBP",54000,2018-10-01,"Irene Taylor Trust","Greater London Authority","Education and Youth","Young Londoners Fund",39182.2443043665,"small"
"960","Young Londoners Fund","GBP",92159,2018-10-14,"IRIE! dance theatre","Greater London Authority","Education and Youth","Young Londoners Fund",98826.4916062123,"med"
"961","Young Londoners Fund","GBP",62075,2018-10-01,"Islington Somali Community","Greater London Authority","Education and Youth","Young Londoners Fund",70211.9228168877,"large"
"962","Young Londoners Fund","GBP",149799,2018-10-01,"Jigsaw4u","Greater London Authority","Education and Youth","Young Londoners Fund",156812.397888537,"small"
"963","Young Londoners Fund","GBP",116153,2019-01-01,"Kazzum Arts Project","Greater London Authority","Education and Youth","Young Londoners Fund",163892.311582006,"med"
"964","Young Londoners Fund","GBP",149880,2019-01-21,"Key4Life","Greater London Authority","Education and Youth","Young Londoners Fund",102976.484632826,"small"
"965","Young Londoners Fund","GBP",75000,2018-10-22,"Khulisa","Greater London Authority","Education and Youth","Young Londoners Fund",86342.8056235543,"small"
"966","Young Londoners Fund","GBP",116866,2019-01-02,"KIDS","Greater London Authority","Education and Youth","Young Londoners Fund",165953.54027353,"small"
"967","Young Londoners Fund","GBP",75000,2018-10-01,"Kiln Theatre Limited","Greater London Authority","Education and Youth","Young Londoners Fund",88317.7695504267,"med"
"968","Young Londoners Fund","GBP",150000,2019-01-01,"Kingston Carers' Network","Greater London Authority","Education and Youth","Young Londoners Fund",116300.629903642,"med"
"969","Young Londoners Fund","GBP",79753,2018-10-22,"Knights Youth Centre","Greater London Authority","Education and Youth","Young Londoners Fund",98253.0029507407,"small"
"970","Young Londoners Fund","GBP",149109,2019-01-01,"Lewisham Refugee and Migrant Network","Greater London Authority","Education and Youth","Young Londoners Fund",143130.336564852,"large"
"971","Young Londoners Fund","GBP",90000,2018-10-01,"Lewisham Youth Theatre","Greater London Authority","Education and Youth","Young Londoners Fund",119176.237190268,"med"
"972","Young Londoners Fund","GBP",146722,2019-01-01,"LifeLine Community Projects","Greater London Authority","Education and Youth","Young Londoners Fund",163190.66694326,"small"
"973","Young Londoners Fund","GBP",1500000,2019-01-01,"LB Haringey","Greater London Authority","Education and Youth","Young Londoners Fund",1593231.13013357,"med"
"974","Young Londoners Fund","GBP",150000,2018-10-01,"LB Southwark","Greater London Authority","Education and Youth","Young Londoners Fund",176982.824325065,"large"
"975","Young Londoners Fund","GBP",150000,2019-01-02,"London Borough of Sutton","Greater London Authority","Education and Youth","Young Londoners Fund",112578.98415814,"large"
"976","Young Londoners Fund","GBP",150000,2019-01-01,"LB Waltham Forest","Greater London Authority","Education and Youth","Young Londoners Fund",161244.029664426,"med"
"977","Young Londoners Fund","GBP",150000,2019-01-07,"LB Waltham Forest","Greater London Authority","Education and Youth","Young Londoners Fund",204536.720356129,"large"
"978","Young Londoners Fund","GBP",685578,2019-01-01,"New Horizon Youth Centre","Greater London Authority","Education and Youth","Young Londoners Fund",788446.897964554,"small"
"979","Young Londoners Fund","GBP",149390,2018-10-01,"Oasis Children's Venture","Greater London Authority","Education and Youth","Young Londoners Fund",139142.284182393,"med"
"980","Young Londoners Fund","GBP",149217,2019-01-01,"Oasis Hub Waterloo","Greater London Authority","Education and Youth","Young Londoners Fund",173449.569134067,"med"
"981","Young Londoners Fund","GBP",89761,2018-10-01,"OYA Organisation of Young Africans","Greater London Authority","Education and Youth","Young Londoners Fund",98623.2795643209,"med"
"982","Young Londoners Fund","GBP",128940,2018-12-03,"Pan Intercultural Arts","Greater London Authority","Education and Youth","Young Londoners Fund",157403.703987571,"small"
"983","Young Londoners Fund","GBP",47877,2018-10-01,"Pleasance Theatre Trust Ltd","Greater London Authority","Education and Youth","Young Londoners Fund",65107.968846465,"med"
"984","Young Londoners Fund","GBP",114688,2019-01-07,"PLIAS Resettlement","Greater London Authority","Education and Youth","Young Londoners Fund",155630.553632556,"med"
"985","Young Londoners Fund","GBP",767635,2018-10-01,"Poplar Housing and Regeneration Community Association Limited (known as Poplar HARCA)","Greater London Authority","Education and Youth","Young Londoners Fund",807670.664761965,"small"
"986","Young Londoners Fund","GBP",57588,2018-10-01,"Protection Approaches","Greater London Authority","Education and Youth","Young Londoners Fund",84795.1858258036,"med"
"987","Young Londoners Fund","GBP",149601,2018-10-01,"QPR in the Community Trust","Greater London Authority","Education and Youth","Young Londoners Fund",166525.904468532,"large"
"988","Young Londoners Fund","GBP",105000,2019-01-01,"Reaching Higher","Greater London Authority","Education and Youth","Young Londoners Fund",143345.414493477,"med"
"989","Young Londoners Fund","GBP",150000,2019-01-01,"Redthread Youth Ltd","Greater London Authority","Education and Youth","Young Londoners Fund",162580.667835795,"large"
"990","Young Londoners Fund","GBP",149352,2019-01-01,"Refugee Support Network","Greater London Authority","Education and Youth","Young Londoners Fund",173851.440762812,"med"
"991","Young Londoners Fund","GBP",76597,2018-10-01,"Ruils","Greater London Authority","Education and Youth","Young Londoners Fund",118040.178771257,"small"
"992","Young Londoners Fund","GBP",150000,2019-01-07,"Saffron Valley Collegiate","Greater London Authority","Education and Youth","Young Londoners Fund",203561.260217884,"small"
"993","Young Londoners Fund","GBP",75000,2018-10-15,"Savvy Theatre Company","Greater London Authority","Education and Youth","Young Londoners Fund",81250.3646964399,"large"
"994","Young Londoners Fund","GBP",87840,2018-12-21,"School of Hard Knocks","Greater London Authority","Education and Youth","Young Londoners Fund",112347.66588756,"large"
"995","Young Londoners Fund","GBP",66000,2018-10-01,"Serious About Youth (SAY)","Greater London Authority","Education and Youth","Young Londoners Fund",75133.9198582157,"med"
"996","Young Londoners Fund","GBP",135309,2019-01-01,"Shpresa Programme","Greater London Authority","Education and Youth","Young Londoners Fund",207841.945502887,"med"
"997","Young Londoners Fund","GBP",90000,2018-11-05,"SkyWay Charity","Greater London Authority","Education and Youth","Young Londoners Fund",133516.790168052,"small"
"998","Young Londoners Fund","GBP",90000,2018-10-20,"Snow-Camp","Greater London Authority","Education and Youth","Young Londoners Fund",116291.953710341,"large"
"999","Young Londoners Fund","GBP",90000,2018-10-15,"SocietyLinks","Greater London Authority","Education and Youth","Young Londoners Fund",100653.822141495,"large"
"1000","Young Londoners Fund","GBP",60000,2018-10-22,"South Central Youth Ltd","Greater London Authority","Education and Youth","Young Londoners Fund",68986.3953784644,"large"
"1001","Young Londoners Fund","GBP",87972,2018-10-01,"South Poplar & Limehouse Action for Secure Housing (SPLASH)","Greater London Authority","Education and Youth","Young Londoners Fund",109957.816828647,"small"
"1002","Young Londoners Fund","GBP",88565,2018-08-20,"Southside Young Leaders' Academy","Greater London Authority","Education and Youth","Young Londoners Fund",101480.75281678,"med"
"1003","Young Londoners Fund","GBP",149250,2018-12-01,"St Giles Trust","Greater London Authority","Education and Youth","Young Londoners Fund",143648.254392562,"large"
"1004","Young Londoners Fund","GBP",88917,2018-10-01,"St Paul's Cathedral","Greater London Authority","Education and Youth","Young Londoners Fund",105376.087126809,"small"
"1005","Young Londoners Fund","GBP",122700,2018-11-01,"Step Up Hub","Greater London Authority","Education and Youth","Young Londoners Fund",87935.0672457025,"med"
"1006","Young Londoners Fund","GBP",149994,2018-10-15,"SV Academy","Greater London Authority","Education and Youth","Young Londoners Fund",171735.692797805,"small"
"1007","Young Londoners Fund","GBP",146560,2018-10-01,"Sycamore Trust U.K.","Greater London Authority","Education and Youth","Young Londoners Fund",133742.294320868,"med"
"1008","Young Londoners Fund","GBP",150000,2019-01-02,"Synergy Theatre Project","Greater London Authority","Education and Youth","Young Londoners Fund",194501.480024967,"med"
"1009","Young Londoners Fund","GBP",149515,2019-01-01,"The Access To Sports Project","Greater London Authority","Education and Youth","Young Londoners Fund",127046.5685758,"large"
"1010","Young Londoners Fund","GBP",149296,2019-01-01,"The AHOY Centre","Greater London Authority","Education and Youth","Young Londoners Fund",175516.027799777,"large"
"1011","Young Londoners Fund","GBP",75000,2018-10-01,"The Arts Depot Trust Ltd","Greater London Authority","Education and Youth","Young Londoners Fund",89974.6785109998,"large"
"1012","Young Londoners Fund","GBP",49809,2018-10-01,"The Ben Kinsella Trust","Greater London Authority","Education and Youth","Young Londoners Fund",60082.8484604796,"med"
"1013","Young Londoners Fund","GBP",145365,2019-01-07,"The Hackney Pirates","Greater London Authority","Education and Youth","Young Londoners Fund",143307.966249536,"large"
"1014","Young Londoners Fund","GBP",96465,2019-01-02,"The Royal Society for Blind Children","Greater London Authority","Education and Youth","Young Londoners Fund",67622.6769693708,"med"
"1015","Young Londoners Fund","GBP",82000,2018-10-01,"The Twist Partnership Limited","Greater London Authority","Education and Youth","Young Londoners Fund",103465.439689905,"med"
"1016","Young Londoners Fund","GBP",148148,2018-12-06,"The Winch","Greater London Authority","Education and Youth","Young Londoners Fund",184669.369182292,"med"
"1017","Young Londoners Fund","GBP",148500,2018-10-01,"ThinkForward","Greater London Authority","Education and Youth","Young Londoners Fund",154515.156771773,"med"
"1018","Young Londoners Fund","GBP",146576,2018-10-01,"Wac Arts College","Greater London Authority","Education and Youth","Young Londoners Fund",209892.135433292,"large"
"1019","Young Londoners Fund","GBP",58069,2018-10-01,"Whizz-Kidz (the Movement for Non-Mobile Children)","Greater London Authority","Education and Youth","Young Londoners Fund",60913.1807695359,"large"
"1020","Young Londoners Fund","GBP",34500,2018-10-15,"Word On The Curb","Greater London Authority","Education and Youth","Young Londoners Fund",42436.9024745117,"med"
"1021","Young Londoners Fund","GBP",117930,2019-01-01,"YMCA Thames Gateway","Greater London Authority","Education and Youth","Young Londoners Fund",136924.316855241,"large"
"1022","Young Londoners Fund","GBP",116555,2019-01-07,"You and Me Counselling","Greater London Authority","Education and Youth","Young Londoners Fund",97750.3236889046,"med"
"1023","Young Londoners Fund","GBP",145937,2019-01-02,"Young Roots","Greater London Authority","Education and Youth","Young Londoners Fund",192609.36183932,"med"
"1024","Young Londoners Fund","GBP",149139,2019-01-07,"Youth Action Alliance","Greater London Authority","Education and Youth","Young Londoners Fund",114469.449711064,"small"
"1025","Grant to Thames Chase Trust","GBP",8900,2019-10-02,"Thames Chase Trust","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",14714.5408654914,"small"
"1026","Grant to London Borough of Barnet","GBP",24743,2019-10-02,"LB Barnet","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",33496.7423130274,"large"
"1027","Grant to The Conservation Volunteers","GBP",15773.96,2019-10-02,"The Conservation Volunteers","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",18217.5517573672,"small"
"1028","Grant to London Borough of Croydon","GBP",20000,2019-10-02,"LB Croydon","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",24182.3074600413,"med"
"1029","Grant to London Wildlife Trust","GBP",6230,2019-10-02,"London Wildlife Trust","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",7170.34906039391,"large"
"1030","Grant to London Borough of Ealing","GBP",28750,2019-10-02,"LB Ealing","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",28715.4341164339,"med"
"1031","Grant to London Borough of Ealing","GBP",18750,2019-10-02,"LB Ealing","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",15030.0102190083,"large"
"1032","Grant to London Borough of Ealing","GBP",11250,2019-10-02,"LB Ealing","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",15297.7647137685,"med"
"1033","Grant to Southall Transition","GBP",6514,2019-10-02,"Southall Transition","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",6145.7836782389,"small"
"1034","Grant to Royal Borough of Greenwich","GBP",14500,2019-10-02,"LB Greenwich","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",15650.8799760516,"large"
"1035","Grant to Friends of Avery Hill Park","GBP",5800,2019-10-02,"Friends of Avery Hill Park","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",4728.7634507412,"large"
"1036","Grant to Peabody Trust","GBP",32000,2019-10-02,"Peabody Trust","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",38334.9267754842,"small"
"1037","Grant to London Borough of Hackney","GBP",48269,2019-10-02,"LB Hackney","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",56407.0266798207,"large"
"1038","Grant to Queensbridge Primary School","GBP",37714,2019-10-02,"Queensbridge Primary School","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",48112.378651379,"med"
"1039","Grant to Alexandra Park and Palace Charitable Trust","GBP",15540,2019-10-02,"Alexandra Park and Palace Charitable Trust","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",25127.6776833194,"small"
"1040","Grant to London Borough of Haringey","GBP",12500,2019-10-02,"LB Haringey","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",14787.237502189,"large"
"1041","Grant to London Borough of Haringey","GBP",10000,2019-10-02,"LB Haringey","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",9680.26612596627,"small"
"1042","Grant to London Borough of Harrow","GBP",27051,2019-10-02,"LB Haringey","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",23669.8194307882,"small"
"1043","Grant to Thames Chase Trust","GBP",19525,2019-10-02,"Thames Chase Trust","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",13457.6825206175,"med"
"1044","Grant to London Borough of Hillingdon","GBP",8436.5,2019-10-02,"LB Hillingdon","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",9675.32142753278,"large"
"1045","Grant to London Borough of Hounslow","GBP",10747,2019-10-02,"LB Hounslow","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",15074.6997199389,"small"
"1046","Grant to Just Solutions 123...","GBP",14600,2019-10-02,"Just Solutions 123...","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",22934.0289204447,"med"
"1047","Grant to The Tree Council","GBP",17682,2019-10-02,"The Tree Council","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",21620.7089637872,"med"
"1048","Grant to Trees for Cities","GBP",40500,2019-10-02,"Trees for Cities","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",45576.0452042944,"small"
"1049","Grant to Trees for Cities","GBP",50000,2019-10-02,"Trees for Cities","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",48205.6109864996,"small"
"1050","Grant to Trees for Cities","GBP",17500,2019-10-02,"Trees for Cities","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",25168.0479542357,"small"
"1051","Grant to London Borough of Redbridge","GBP",14331.38,2019-10-02,"LB Redbridge","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",15959.6330099297,"large"
"1052","Grant to Dulwich Park Friends","GBP",5760,2019-10-02,"Dulwich Park Friends","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",6092.45237594642,"med"
"1053","Grant to Wrythe Memorial Events","GBP",12000,2019-10-02,"Wrythe Memorial Events","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",10297.30032419,"med"
"1054","Grant to Manor Park Friends Group","GBP",7834,2019-10-02,"Manor Park Friends Group","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",6366.36834367494,"med"
"1055","Grant to Trees for Cities","GBP",10000,2019-10-02,"Trees for Cities","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",13622.5528057451,"large"
"1056","Grant to London Borough of Waltham Forest","GBP",24230,2019-10-02,"LB Waltham Forest","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",34773.4378946269,"small"
"1057","Grant to London Borough of Wandsworth","GBP",17800,2019-10-02,"LB Wandsworth","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",14730.3400951511,"small"
"1058","London Family Fund","GBP",85000,2018-09-01,"New Economics Foundation","Greater London Authority","Communities and Social Policy","London Family Fund",119125.039417685,"small"
"1059","London Family Fund","GBP",82592,2018-09-01,"Citizens UK","Greater London Authority","Communities and Social Policy","London Family Fund",81054.3767672964,"small"
"1060","London Family Fund","GBP",20000,2018-09-01,"Eastside Community Heritage","Greater London Authority","Communities and Social Policy","London Family Fund",18935.8175109421,"small"
"1061","London Family Fund","GBP",14000,2018-09-01,"Kitchen Kitchen Collection CIC","Greater London Authority","Communities and Social Policy","London Family Fund",11231.3549263273,"med"
"1062","London Family Fund","GBP",47000,2018-09-01,"Wheely Tots","Greater London Authority","Communities and Social Policy","London Family Fund",44252.0827275541,"med"
"1063","London Family Fund","GBP",50000,2018-09-01,"Nature Vibezzz","Greater London Authority","Communities and Social Policy","London Family Fund",67772.285404608,"small"
"1064","London Family Fund","GBP",40000,2018-09-01,"Time and Talents Assocation","Greater London Authority","Communities and Social Policy","London Family Fund",60908.4659411352,"med"
"1065","London Family Fund","GBP",25000,2018-09-01,"Little Village","Greater London Authority","Communities and Social Policy","London Family Fund",34192.8452124122,"med"
"1066","London Family Fund","GBP",26147,2018-09-01,"Hackney Playbus","Greater London Authority","Communities and Social Policy","London Family Fund",34054.5284696359,"large"
"1067","London Family Fund","GBP",67000,2019-10-01,"Cares Family","Greater London Authority","Communities and Social Policy","London Family Fund",83945.976743106,"small"
"1068","London Family Fund","GBP",20000,2019-10-01,"Centrepoint Soho","Greater London Authority","Communities and Social Policy","London Family Fund",24669.6553135256,"large"
"1069","London Family Fund","GBP",26993,2019-10-01,"Her Centre","Greater London Authority","Communities and Social Policy","London Family Fund",21193.5464651777,"med"
"1070","London Family Fund","GBP",10250,2019-10-01,"St Mary's Primary School","Greater London Authority","Communities and Social Policy","London Family Fund",9728.66304221631,"large"
"1071","London Family Fund","GBP",20308,2019-10-01,"Laburnum Boat Club","Greater London Authority","Communities and Social Policy","London Family Fund",30071.5345102562,"med"
"1072","Grant to London Borough of Bexley","GBP",290000,2019-07-31,"LB Bexley","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",398821.949710138,"large"
"1073","Grant to London Borough of Brent","GBP",628000,2019-11-13,"LB Brent","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",850322.537154995,"small"
"1074","Grant to London Borough of Camden","GBP",157000,2019-07-31,"LB Camden","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",233809.347986545,"small"
"1075","Grant to London Borough of Croydon","GBP",521000,2019-07-19,"LB Croydon","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",652321.964968441,"med"
"1076","Grant to London Borough of Enfield","GBP",554474,2019-08-27,"LB Enfield","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",949381.176770574,"med"
"1077","Grant to London Borough of Haringey","GBP",546000,2019-07-13,"LB Haringey","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",645654.262286632,"small"
"1078","Grant to London Borough of Harrow","GBP",5e+05,2019-08-21,"LB Harrow","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",515151.592015196,"large"
"1079","Grant to London Borough of Hounslow","GBP",5e+05,2019-11-21,"LB Hounslow","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",350867.008247885,"small"
"1080","Grant to Royal Borough of Kingston upon Thames","GBP",203000,2019-10-28,"LB Kingston","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",241511.845969749,"med"
"1081","Grant to London Borough of Lambeth","GBP",239418,2019-07-19,"LB Lambeth","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",240569.183826292,"large"
"1082","Grant to London Borough of Lewisham","GBP",525000,2019-07-31,"LB Lewisham","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",736515.805714728,"small"
"1083","Grant to London Borough of Merton","GBP",366000,2019-08-06,"LB Merton","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",290692.306172494,"med"
"1084","Grant to London Borough of Newham","GBP",292000,2019-07-19,"LB Newham","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",385168.269525012,"large"
"1085","Grant to London Borough of Redbridge","GBP",120000,2019-10-18,"LB Redbridge","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",105854.312048909,"large"
"1086","Grant to London Borough of Southwark","GBP",572696,2019-07-31,"Lb Southwark","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",529113.01545368,"med"
"1087","Grant to London Borough of Sutton","GBP",70000,2019-10-28,"LB Sutton","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",82526.7317504443,"large"
"1088","Grant to London Borough of Tower Hamlets","GBP",95000,2019-11-05,"LB Tower Hamlets","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",105182.514185384,"large"
"1089","Grant to London Borough of Waltham Forest","GBP",797019,2019-09-10,"LB Waltham Forest","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",1161982.80541688,"large"
"1090","Grant to london Borough of Wandsworth","GBP",1e+05,2019-08-21,"Lb Wandsworth","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",154373.719359043,"med"
"1091","Grant to Westminster City Council","GBP",180000,2019-08-27,"LB Westminster","Greater London Authority","Housing and Land","Homebuilding Capacity Fund",205635.461762012,"large"
"1092","The Conservation Volunteers","GBP",113628,2019-09-23,"The Conservation Volunteers","Greater London Authority","Development, Enterprise & Environment","Greener City Fund",80889.7986194007,"med"
"1093","The Woodland Trust","GBP",99990,2019-09-25,"The Woodland Trust","Greater London Authority","Development, Enterprise & Environment","Greener City Fund",138837.563974376,"small"
"1094","Trees for Cities","GBP",18088,2019-09-23,"Trees for Cities","Greater London Authority","Development, Enterprise & Environment","Greener City Fund",14126.6371500802,"large"
"1095","Grant to 'Indoamerican Refugee Migrant Organisation'","GBP",1980,2018-11-01,"Indoamerican Refugee Migrant Organisation","Greater London Authority","Communities and Social Policy","European Outreach Microgrants Round 1",2095.00929968949,"large"
"1096","Grant to 'Lambeth Law Centre'","GBP",2000,2018-11-01,"Lambeth Law Centre","Greater London Authority","Communities and Social Policy","European Outreach Microgrants Round 1",2676.02049468162,"med"
"1097","Grant to 'London Bulgarian Association'","GBP",850,2018-11-01,"London Bulgarian Association","Greater London Authority","Communities and Social Policy","European Outreach Microgrants Round 1",990.340306103261,"large"
"1098","Grant to 'New Europeans'","GBP",2000,2018-11-18,"New Europeans","Greater London Authority","Communities and Social Policy","European Outreach Microgrants Round 1",3047.12783803717,"large"
"1099","Grant to 'WLM Seymour Place'","GBP",2000,2018-11-01,"WLM Seymour Place","Greater London Authority","Communities and Social Policy","European Outreach Microgrants Round 1",2839.18621825803,"med"
"1100","Grant to 'Citizens Advice Bureau Enfield'","GBP",1925,2018-11-20,"Citizens Advice Bureau Enfield","Greater London Authority","Communities and Social Policy","European Outreach Microgrants Round 1",2612.73890700054,"small"
"1101","Grant to 'Citizens Advice Bureau Wandsworth'","GBP",2000,2018-11-01,"Citizens Advice Bureau Wandsworth","Greater London Authority","Communities and Social Policy","European Outreach Microgrants Round 1",1754.80421602121,"small"
"1102","Grant to 'DISIRE'","GBP",1850,2018-11-01,"DISIRE","Greater London Authority","Communities and Social Policy","European Outreach Microgrants Round 1",2567.88396905309,"med"
"1103","Grant to 'East European Resource Centre'","GBP",2000,2018-11-12,"East European Resource Centre","Greater London Authority","Communities and Social Policy","European Outreach Microgrants Round 1",2885.84729606081,"large"
"1104","Grant to 'Latin American Women's Rights Service'","GBP",4940,2019-03-19,"Latin American Women's Rights Service","Greater London Authority","Communities and Social Policy","European Outreach Microgrants Round 2",7225.74911880625,"med"
"1105","Grant to 'Work Rights Centre'","GBP",4960,2019-03-19,"Work Rights Centre","Greater London Authority","Communities and Social Policy","European Outreach Microgrants Round 2",5542.64822791353,"med"
"1106","Grant to 'New Europeans'","GBP",4870,2019-03-19,"New Europeans","Greater London Authority","Communities and Social Policy","European Outreach Microgrants Round 2",5924.60991783861,"small"
"1107","Grant to 'Migrants Resource Centre'","GBP",4936,2019-03-19,"Migrants Resource Centre","Greater London Authority","Communities and Social Policy","European Outreach Microgrants Round 2",7179.02757489182,"med"
"1108","Grant to 'Bulgarian Centre for Social Integration and Culture'","GBP",4978,2019-03-20,"The Bulgarian Centre for Social Integration and Culture","Greater London Authority","Communities and Social Policy","European Outreach Microgrants Round 2",6570.41688863668,"med"
"1109","Grant to 'Council of Somali Organisations'","GBP",5000,2019-12-10,"Council of Somali Organisations","Greater London Authority","Communities and Social Policy","European Microgrants Round 3",5519.5906328937,"small"
"1110","Grant to 'East European Resource Centre'","GBP",5000,2019-12-10,"East European Resource Centre","Greater London Authority","Communities and Social Policy","European Microgrants Round 3",6071.35285353398,"small"
"1111","Grant to 'Islington Law Centre'","GBP",5000,2019-12-10,"Islington Law Centre","Greater London Authority","Communities and Social Policy","European Microgrants Round 3",5364.12741422558,"small"
"1112","Grant to 'Latin American House'","GBP",5000,2019-12-10,"Latin American House","Greater London Authority","Communities and Social Policy","European Microgrants Round 3",5582.39002145074,"large"
"1113","Grant to 'Refugee & Migrant Forum of Essex & London'","GBP",4947,2019-12-10,"Refugee & Migrant Forum of Essex & London","Greater London Authority","Communities and Social Policy","European Microgrants Round 3",3272.7949658011,"small"
"1114","Grant to 'Settled'","GBP",5000,2019-12-10,"Settled","Greater London Authority","Communities and Social Policy","European Microgrants Round 3",6575.6761794517,"small"
"1115","Grant to 'Coram Children's Legal Centre'","GBP",5000,2019-12-10,"Coram Children's Legal Centre","Greater London Authority","Communities and Social Policy","European Microgrants Round 3",6281.97183746928,"large"
"1116","Grant to 'Skills Enterprise'","GBP",4977,2019-12-10,"Skills Enterprise","Greater London Authority","Communities and Social Policy","European Microgrants Round 3",6575.83874508802,"small"
"1117","Grant to 'Work Rights Centre'","GBP",4970,2019-12-10,"Work Rights Centre","Greater London Authority","Communities and Social Policy","European Microgrants Round 3",7573.53243490171,"med"
"1118","Grant to 'The AIRE Centre'","GBP",5000,2019-12-10,"The AIRE Centre","Greater London Authority","Communities and Social Policy","European Microgrants Round 3",5787.49427156582,"small"
"1119","Grant to 'Migrants Organise'","GBP",5000,2019-12-10,"Migrants Organise","Greater London Authority","Communities and Social Policy","European Microgrants Round 3",5819.89263404153,"small"
"1120","East End Citizens Advice Bureaux","GBP",5000,2019-12-10,"East End Citizens Advice Bureaux","Greater London Authority","Communities and Social Policy","European Microgrants Round 3",7283.31990917094,"med"
"1121","Grant to Froglife","GBP",40000,2020-01-29,"Froglife","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",37936.8384932956,"large"
"1122","Grant to Foulds School","GBP",18522.96,2020-01-29,"Foulds School","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",24544.3574949067,"med"
"1123","Grant to Thames21","GBP",25000,2020-01-29,"Thames21","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Green Space Grants",31034.4232473386,"med"
